pt,en
terramoto,earthquake
cidade,city
sino,bell
missa,mass (church service)
Dia de Todos os Santos,All Saints' Day
avô,grandfather
pão,bread
vela,candle
chão,ground / floor
tremer,to shake / tremble
segurar,to hold on
gritar,to shout / scream
fogo,fire
casa,house
correr,to run
alto,high / uphill
olhar,to look
trás,behind / back
água,water
subir,to rise / go up
rio,river
longe,far
mar,sea
voar,to fly
amanhã,tomorrow
recomeçar,to begin again
cair,to fall
pessoa,person
ficar,to stay / remain
escutar,to listen
cheio,full
hoje,today
tudo,everything
levar,to take / bring
poeira,dust
parede,wall
rachadura,crack
pedra,stone
rua,street
fumaça,smoke
perigo,danger
medo,fear
família,family
sobrevivir,to survive
silêncio,silence
noite,night
entardecer,dusk
ruína,ruin
destruir,to destroy
salvar,to save
ajuda,help
vizinho,neighbour
igreja,church
telhado,roof
chaminé,chimney
cesta,basket
chave,key
abrir,to open
fechar,to close
apressar,to hurry
ouvir,to hear
ver,to see
sentir,to feel
partir,to leave
quebrar,to break
queimar,to burn
afogar,to drown
escapar,to escape
descer,to go down
esperar,to wait / to hope
acreditar,to believe
chorar,to cry
abraçar,to hug
mão,hand
olho,eye
coração,heart
céu,sky
sol,sun
sombra,shadow
vento,wind
onda,wave
porto,harbour
Baixa,Lisbon downtown
Tejo,Tagus (river)
Lisboa,Lisbon
Portugal,Portugal
desastre,disaster
tragédia,tragedy
esperança,hope
memória,memory
história,history
reconstruir,to rebuild
futuro,future
passado,past
testemunha,witness
gaivota,seagull
segura-te a mim,hold on to me
para o alto,to higher ground
não olhes para trás,don't look back
a água sobe,the water is rising
