pt,en
ceuta,Ceuta
conquista,conquest
descobrimentos,Discoveries (Age of)
infante,prince (Infante)
henrique,Henry
frota,fleet
navio,ship
caravela,caravel
lagos,Lagos
estreito,strait
áfrica,Africa
fortaleza,fortress
desembarque,landing ashore
marinheiro,sailor
mastro,mast
âncora,anchor
maré,tide
bússola,compass
rumo,course / heading
travessia,sea crossing
tempestade,storm
calmaria,calm sea
horizonte,horizon
alvorada,dawn
cidadela,citadel
mercado,market
especiaria,spice
ouro,gold
trigo,wheat
risco,risk
saudade,longing
partida,departure
chegada,arrival
cruz,cross
capela,chapel
oração,prayer
promessa,promise
pai,father
filho,son
amigo,friend
companheiro,companion
tambor,drum
escada,ladder
espada,sword
elmo,helm
vinho,wine
barco,boat
remo,oar
cabo,cape
costas,coast
ilha,island
continente,continent
mundo,world
legado,legacy
sonho,dream
império,empire
comércio,trade
rota,route
oceano,ocean
atlântico,Atlantic
mediterrâneo,Mediterranean
luz,light
murmúrio,murmur
farol,lighthouse
baía,bay
península,peninsula
algarve,Algarve
nuvem,cloud
estrela,star
lua,moon
areia,sand
rocha,rock
vale,valley
cinza,ash / gray
ferro,iron
madeira,wood
corda,rope
rede,net
peixe,fish
pássaro,bird
asa,wing
voo,flight
pousar,to land / perch
chegar,to arrive
rezar,to pray
prometer,to promise
defender,to defend
atacar,to attack
lembrar,to remember
esquecer,to forget
seguir,to follow
nadar,to swim
remar,to row
navegar,to navigate / sail
descobrir,to discover
explorar,to explore
conquistar,to conquer
governar,to govern
mandar,to order
obedecer,to obey
