pt,en
índia,India
calecute,Calicut (Kozhikode)
vasco,Vasco
gama,Gama
boa-esperança,Good Hope
monção,monsoon
especiarias,spices
pimenta,pepper
canela,cinnamon
cravo-da-índia,clove
gengibre,ginger
sândalo,sandalwood
seda,silk
mercador,merchant
feira,fair / market
porto-indiano,Indian port
raja,raja / ruler
embaixada,embassy
presente,gift
carta,letter
tratado,treaty
acordo,agreement
intérprete,interpreter
língua,language / tongue
estrangeiro,foreigner / stranger
tripulação,crew
grumete,cabin boy
timoneiro,helmsman
piloto,pilot (navigator)
navegador,navigator
almirante,admiral
armada,armada / fleet
nau,carrack / large ship
batel,small boat
convés,deck
porão,hold (ship)
proa,bow (ship)
popa,stern
leme,rudder
astrolábio,astrolabe
latitude,latitude
longitude,longitude
estrela-polar,Pole Star
cruzeiro-do-sul,Southern Cross
oceano-índico,Indian Ocean
áfrica-oriental,East Africa
mombaça,Mombasa
malindi,Malindi
guia,guide
piloto-árabe,Arab pilot
confiança,trust
desconfiança,distrust
fome,hunger
escorbuto,scurvy
doença,illness
remédio,medicine
água-doce,fresh water
barris,barrels
biscoito,ship biscuit
carne-seca,dried meat
vinagre,vinegar
corrente,current
espuma,foam
terra-à-vista,land ahoy
costa,coast
palmeira,palm tree
praia,beach
templo,temple
mesquita,mosque
palácio,palace
elefante,elephant
tigre,tiger
arroz,rice
coco,coconut
banana,banana
chá,tea
incenso,incense
pérola,pearl
rubi,ruby
diamante,diamond
moeda,coin
peso,weight / scale
balança,balance scale
preço,price
lucro,profit
perda,loss
fé,faith
milagre,miracle
milha,mile
légua,league (distance)
mês,month
ano,year
era,era
jornada,journey
aventura,adventure
salvação,salvation / rescue
porto-seguro,safe harbor
brasão,coat of arms
cruz-de-cristo,Order of Christ cross
padroeiro,patron saint
