pt,en
liberal,liberal
constituição,constitution
cortes,Cortes (parliament)
jura,oath
absolutismo,absolutism
brasil,Brazil
manifesto,manifesto
proclamação,proclamation
milícia,militia
cadete,cadet
comerciante,merchant
tipógrafo,printer
jornal,newspaper
panfleto,pamphlet
ribeira,Ribeira (Porto)
douro,Douro
clérigos,Clérigos
discurso,speech
direitos,rights
pátria,homeland
cidadão,citizen
voto,vote
lei,law
assembleia,assembly
deputado,deputy
reforma,reform
união,union
hino,anthem
prensa,press
tinta,ink
papel,paper
assinar,to sign
jurar,to swear
proclamar,to proclaim
exigir,to demand
calar,to be silent
mulher,woman
homem,man
jovem,young person
vinho-do-porto,port wine
barca,river boat
cais,quay
névoa,mist
convento,convent
caos,chaos
palavra,word
conflito,conflict
exílio,exile
corte,royal court
ministério,ministry
ministro,minister
general,general
arma,weapon
pólvora,gunpowder
1820,1820
setembro,September
outubro,October
regência,regency
beresford,Beresford
ingleses,the English
ocupação,occupation
dívida,debt
imposto,tax
comércio-livre,free trade
monopólio,monopoly
colónia,colony
metrópole,metropole
independência-brasil,Brazilian independence (context)
volta-do-rei,king's return
praça-da-constituição,Constitution Square
campo-de-santo-ovidio,Santo Ovídio field
regimento,regiment
guarnição,garrison
sentinela,sentinel
alvorada-militar,military reveille
toque-de-reunir,assembly call
orador,speaker
multidão-portuense,Porto crowd
portuense,Porto native
província,province
reino-unido,United Kingdom (Portugal-Brazil)
decreto,decrect
petição,petition
liberdade-de-imprensa,press freedom
prisão,prison
amnistia,amnesty
traição,treason
dever,duty
igualdade,equality
fraternidade,fraternity
progresso,progress
tradição,tradition
modernidade,modernity
fábrica,factory
oficina,workshop
mercado-negro,black market
pão-duro,hard bread
fome-urbana,urban hunger
salário,wage
greve,strike
