pt,en
república,republic
proclamação-republicana,republican proclamation
quinto-de-outubro,5 October
1910,1910
monarquia,monarchy
rei-manuel,King Manuel
carbonária,Carbonária
republicano,republican
marinha,navy
canhão,cannon
couraçado,battleship
rossio,Rossio
chiado,Chiado
carmo,Carmo
rotunda,Rotunda
avenida,avenue
ambulância,ambulance
enfermeira,nurse
feridos,wounded
barricada-lisboa,Lisbon barricade
proclamador,proclaimer
varanda-municipal,city balcony
bandeira-verde-vermelha,green-red flag
escudo-armilar,armillary sphere
hino-da-carta,Hymn of the Charter
a-portuguesa,A Portuguesa
governo-provisório,provisional government
presidente,president
assembleia-constituinte,constituent assembly
decreto-lei,decree-law
separação-igreja-estado,church-state separation
laicismo,secularism
ensino,education
alfabetização,literacy
censura-acabou,censorship ended (hope)
exílio-real,royal exile
comboio,train
fronteira-espanhola,Spanish border
madrugada-de-outubro,October dawn
tiroteio,gunfire
fumo-branco,white smoke
parlamento,parliament
senado,senate
camara,chamber
ministro-da-guerra,war minister
comandante,commander
marinheiro-republicano,republican sailor
jornalista,journalist
fotógrafo,photographer
cartaz,poster
comunicado,communique
vitória-republicana,republican victory
fim-da-monarquia,end of monarchy
novo-regime,new regime
esperança-civica,civic hope
incerteza,uncertainty
rua-do-ouro,Rua do Ouro
rua-augusta,Rua Augusta
largo-do-carmo,Largo do Carmo
quartel-do-carmo,Carmo barracks
rendição,surrender
parlamento-aberto,open parliament
missão,mission
dever-cívico,civic duty
pátria-nova,new homeland
cidadão-livre,free citizen
voto-universal,universal suffrage (ideal)
mulher-na-rua,woman in the street
criança-assusta,frightened child
janela-aberta,open window
bandeira-hasteada,flag raised
toque-de-clarim,bugle call
silêncio-depois,silence after
amanhecer-republicano,republican dawn
lisboa-em-armas,Lisbon under arms
porto-apoiou,Porto supported
coimbra-soube,Coimbra heard
telegrama,telegram
telefone,telephone
notícia-rápida,fast news
praça-cheia,full square
multidão-calada,silent crowd
discurso-curto,short speech
aplauso,applause
lágrimas-de-alegria,tears of joy
medo-da-guerra,fear of war
paz-frágil,fragile peace
promessa-de-lei,promise of law
constituição-nova,new constitution
direitos-civis,civil rights
liberdade-de-reuniao,freedom of assembly
liberdade-de-imprensa-nova,new press freedom
escola-pública,public school
hospital,hospital
cruz-vermelha,Red Cross
enfermeiro,male nurse
médico,doctor
ferimentos-leves,light wounds
abrigo,shelter
água-para-feridos,water for wounded
