pt,en
professa,teacher (female)
sobrinho,nephew
salazar-era,Salazar era
regime-novo,Estado Novo regime
autoridade,authority
silenciar,to silence
aprovado,approved (stamp)
reprovado,rejected
manuscrito,manuscript
caderno,notebook
giz,chalk
quadro-negro,blackboard
sala-de-aula,classroom
inspector,inspector
carimbo,stamp
censurado,censored
margem,margin (of page)
rabisco,scribble
mochila,satchel / backpack
primária,primary school
retrato-oficial,official portrait
gaveta,drawer
formal,formal
conforme,as required
pergunta-guardada,kept question
bolso,pocket
segredo,secret
voz-baixa,low voice
1950,1950s
bairro,neighbourhood
rotina,routine
peso-do-silêncio,weight of silence
livro-de-texto,textbook
página-rasgada,torn page
leitura-cuidadosa,careful reading
palavra-permitida,permitted word
frase-aprovada,approved sentence
escola-primária,primary school
criança-atenta,attentive child
fileira,row (of desks)
pátio-escolar,schoolyard
muro-baixo,low wall
tia,aunt
costurar,to mend / sew
casa-boa,decent home
luz-de-cozinha,kitchen light
dever-de-casa,homework
perguntar-baixo,to ask quietly
resposta-curta,short answer
olhar-de-lado,sideways glance
vizinho-discreto,discreet neighbour
porta-fechada,closed door
janela-entreaberta,half-open window
murmúrio-de-rádio,radio murmur
notícia-oficial,official news
propaganda,propaganda
discurso-gravado,recorded speech
reunião-secreta,secret meeting
medo-de-falar,fear of speaking
coragem-doméstica,domestic courage
esperar-melhor,to hope for better
geração-calada,silent generation
portugal-pequeno,small Portugal
crescer-por-dentro,to grow inwardly
aprender-em-segredo,to learn in secret
estado-novo-dia,Estado Novo daily life
censura-leve,light censorship (atmosphere)
inspector-escolar,school inspector
visita-informe,inspection visit
conformidade,conformity
obediência,obedience
respeito-forçado,forced respect
orgulho-discreto,quiet pride
família-unida,united family
sobrevivência-civil,civilian survival
cotidiano,everyday life
manhã-cinzenta,grey morning
cidade-silenciosa,silent city
caminho-para-casa,walk home
fim-de-aula,end of class
sino-da-escola,school bell
recreativa,recess
intervalo,break
almoço-simples,simple lunch
pão-com-manteiga,bread with butter
chá-de-tia,aunt's tea
promessa-de-futuro,promise of future
pergunta-no-bolso,question in pocket
palavras-medidas,measured words
ar-pesado,heavy air
carimbo-aprovado,approved stamp
giz-branco,white chalk
pó-de-giz,chalk dust
retrato-na-parede,portrait on wall
bandeira-na-escola,flag at school
hino-gravado,recorded anthem
portugal-nosso,our Portugal
esperança-guardada,kept hope
futuro-adormecido,sleeping future
professora-marta,teacher Marta
